category,name,old_unit,suggested_unit,priced
Doors,"Interior, Shower, Hinged, Replace Trim",each,linear ft,True
Doors,"Exterior, Standard Entry, Replace Threshold",each,linear ft,True
Doors,"Exterior, Garage, Replace Trim",each,linear ft,True
Doors,"Exterior, French (Specific), Replace Threshold",each,linear ft,True
Plumbing,"Tub/Shower, Replace/Install Trim/Beauty Kit",each,linear ft,True
Carpentry,"Baseboard, Install/Replace",each,linear ft,True
Carpentry,"Door Casing, Install/Replace",each,linear ft,True
Carpentry,"Window Casing, Install/Replace",each,linear ft,True
Carpentry,"Chair Rail, Install/Replace",each,linear ft,True
Carpentry,"Crown Moulding, Install/Replace",each,linear ft,True
Carpentry,"Cabinet Trim, Install/Replace",each,linear ft,True
Tile,"Tile, Floor, Install/Repair",each,sq ft,True
Tile,"Tile, Bathroom Walls, Install/Repair",each,sq ft,True
Tile,"Tile, Backsplash, Install/Repair",each,sq ft,True
Tile,"Tile, Countertop, Install, Repair",each,sq ft,True
Tile,"Tile, Pool, Install/Repair",each,sq ft,True
Flooring,"Carpet, Stretching",each,sq ft,True
Flooring,"Carpet, Install New",each,sq ft,True
Flooring,"Carpet, Patching",each,sq ft,True
Flooring,"Carpet, Cleaning",each,sq ft,True
Flooring,"Carpet, Transition Strips, Install",each,sq ft,True
Flooring,"Carpet, Tack Strip, Install",each,sq ft,True
Flooring,"Vinyl, Plank, Glue Down, Install New",each,sq ft,True
Flooring,"Vinyl, Plank, Glue Down, Repair/Replace",each,sq ft,True
Flooring,"Vinyl, Plank, Floating, Install New",each,sq ft,True
Flooring,"Vinyl, Plank, Floating, Repair/Replace",each,sq ft,True
Flooring,"Vinyl, Sheet, Glue Down, Install New",each,sq ft,True
Flooring,"Vinyl, Sheet, Glue Down, Repair/Replace",each,sq ft,True
Flooring,"Laminate, Floating, Install New",each,sq ft,True
Flooring,"Laminate, Floating, Repair/Replace",each,sq ft,True
Flooring,"Cement, Stained, Re-Stain",each,sq ft,True
Flooring,"Cement, Epoxy, Re-Apply",each,sq ft,True
Flooring,"Wood Floors, Refinish",each,sq ft,True
Flooring,"Wood Floors, Replace Damaged Pieces",each,sq ft,True
Flooring,"Wood Floors, Install New",each,sq ft,True
Flooring,"Wood Floors, Repair Gouges & Dents",each,sq ft,True
Flooring,"All Flooring, Repair Squeaks",each,sq ft,True
Flooring,"All Flooring, Install Transition Strips",each,sq ft,True
Interior Wall & Ceiling Finishes &,"Drywall, Patch",each,sq ft,True
Interior Wall & Ceiling Finishes &,"Drywall, Texture",each,sq ft,True
